service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1001M,0,1,0,0,0,0,0,20240521,20240521
1002X,0,0,1,0,0,0,0,20240522,20240522
1003J,0,0,0,1,0,0,0,20240523,20240523
1004V,0,0,0,0,1,0,0,20240524,20240524
1005S,0,0,0,0,0,1,0,20240525,20240525
1006D,0,0,0,0,0,0,1,20240526,20240526
1007L,1,0,0,0,0,0,0,20240527,20240527
1008M,0,1,0,0,0,0,0,20240528,20240528
1009X,0,0,1,0,0,0,0,20240529,20240529
1010J,0,0,0,1,0,0,0,20240530,20240530
1011V,0,0,0,0,1,0,0,20240531,20240531
1012S,0,0,0,0,0,1,0,20240601,20240601
1013D,0,0,0,0,0,0,1,20240602,20240602
1014L,1,0,0,0,0,0,0,20240603,20240603
1015M,0,1,0,0,0,0,0,20240604,20240604
1016X,0,0,1,0,0,0,0,20240605,20240605
1017J,0,0,0,1,0,0,0,20240606,20240606
1018V,0,0,0,0,1,0,0,20240607,20240607
1019S,0,0,0,0,0,1,0,20240608,20240608
1020D,0,0,0,0,0,0,1,20240609,20240609
1021L,1,0,0,0,0,0,0,20240610,20240610
1022M,0,1,0,0,0,0,0,20240611,20240611
1023X,0,0,1,0,0,0,0,20240612,20240612
1024J,0,0,0,1,0,0,0,20240613,20240613
1025V,0,0,0,0,1,0,0,20240614,20240614
1094X,0,0,1,0,0,0,0,20240515,20240515
1095J,0,0,0,1,0,0,0,20240516,20240516
1096V,0,0,0,0,1,0,0,20240517,20240517
1097S,0,0,0,0,0,1,0,20240518,20240518
1098D,0,0,0,0,0,0,1,20240519,20240519
1099L,1,0,0,0,0,0,0,20240520,20240520
2001M,0,1,0,0,0,0,0,20240521,20240521
2002X,0,0,1,0,0,0,0,20240522,20240522
2003J,0,0,0,1,0,0,0,20240523,20240523
2004V,0,0,0,0,1,0,0,20240524,20240524
2005S,0,0,0,0,0,1,0,20240525,20240525
2006D,0,0,0,0,0,0,1,20240526,20240526
2007L,1,0,0,0,0,0,0,20240527,20240527
2008M,0,1,0,0,0,0,0,20240528,20240528
2009X,0,0,1,0,0,0,0,20240529,20240529
2010J,0,0,0,1,0,0,0,20240530,20240530
2011V,0,0,0,0,1,0,0,20240531,20240531
2012S,0,0,0,0,0,1,0,20240601,20240601
2013D,0,0,0,0,0,0,1,20240602,20240602
2014L,1,0,0,0,0,0,0,20240603,20240603
2015M,0,1,0,0,0,0,0,20240604,20240604
2016X,0,0,1,0,0,0,0,20240605,20240605
2017J,0,0,0,1,0,0,0,20240606,20240606
2018V,0,0,0,0,1,0,0,20240607,20240607
2019S,0,0,0,0,0,1,0,20240608,20240608
2020D,0,0,0,0,0,0,1,20240609,20240609
2021L,1,0,0,0,0,0,0,20240610,20240610
2022M,0,1,0,0,0,0,0,20240611,20240611
2023X,0,0,1,0,0,0,0,20240612,20240612
2024J,0,0,0,1,0,0,0,20240613,20240613
2025V,0,0,0,0,1,0,0,20240614,20240614
2094X,0,0,1,0,0,0,0,20240515,20240515
2095J,0,0,0,1,0,0,0,20240516,20240516
2096V,0,0,0,0,1,0,0,20240517,20240517
2097S,0,0,0,0,0,1,0,20240518,20240518
2098D,0,0,0,0,0,0,1,20240519,20240519
2099L,1,0,0,0,0,0,0,20240520,20240520
3001M,0,1,0,0,0,0,0,20240521,20240521
3002X,0,0,1,0,0,0,0,20240522,20240522
3003J,0,0,0,1,0,0,0,20240523,20240523
3004V,0,0,0,0,1,0,0,20240524,20240524
3005S,0,0,0,0,0,1,0,20240525,20240525
3006D,0,0,0,0,0,0,1,20240526,20240526
3007L,1,0,0,0,0,0,0,20240527,20240527
3008M,0,1,0,0,0,0,0,20240528,20240528
3009X,0,0,1,0,0,0,0,20240529,20240529
3010J,0,0,0,1,0,0,0,20240530,20240530
3011V,0,0,0,0,1,0,0,20240531,20240531
3012S,0,0,0,0,0,1,0,20240601,20240601
3013D,0,0,0,0,0,0,1,20240602,20240602
3014L,1,0,0,0,0,0,0,20240603,20240603
3015M,0,1,0,0,0,0,0,20240604,20240604
3016X,0,0,1,0,0,0,0,20240605,20240605
3017J,0,0,0,1,0,0,0,20240606,20240606
3018V,0,0,0,0,1,0,0,20240607,20240607
3019S,0,0,0,0,0,1,0,20240608,20240608
3020D,0,0,0,0,0,0,1,20240609,20240609
3021L,1,0,0,0,0,0,0,20240610,20240610
3022M,0,1,0,0,0,0,0,20240611,20240611
3023X,0,0,1,0,0,0,0,20240612,20240612
3024J,0,0,0,1,0,0,0,20240613,20240613
3025V,0,0,0,0,1,0,0,20240614,20240614
3094X,0,0,1,0,0,0,0,20240515,20240515
3095J,0,0,0,1,0,0,0,20240516,20240516
