trip_id,arrival_time,departure_time,stop_id,stop_sequence
4-I12-001-2022I12-1-1-4--1---,01:00:00,01:00:00,par-4-263,0
4-I12-001-2022I12-1-1-4--1---,01:03:10,01:03:10,par-4-262,1
4-I12-001-2022I12-1-1-4--1---,01:05:17,01:05:17,par-4-261,2
4-I12-001-2022I12-1-1-4--1---,01:08:19,01:08:19,par-4-1,3
4-I12-001-2022I12-1-1-4--1---,01:09:40,01:09:40,par-4-2,4
4-I12-001-2022I12-1-1-4--1---,01:11:07,01:11:07,par-4-3,5
4-I12-001-2022I12-1-1-4--1---,01:13:07,01:13:07,par-4-4,6
4-I12-001-2022I12-1-1-4--1---,01:14:32,01:14:32,par-4-5,7
4-I12-001-2022I12-1-1-4--1---,01:15:40,01:15:40,par-4-6,8
4-I12-001-2022I12-1-1-4--1---,01:17:01,01:17:01,par-4-7,9
4-I12-001-2022I12-1-1-4--1---,01:18:58,01:18:58,par-4-8,10
4-I12-001-2022I12-1-1-4--1---,01:20:49,01:20:49,par-4-9,11
4-I12-001-2022I12-1-1-4--1---,01:22:04,01:22:04,par-4-10,12
4-I12-001-2022I12-1-1-4--1---,01:23:53,01:23:53,par-4-11,13
4-I12-001-2022I12-1-1-4--1---,01:24:44,01:24:44,par-4-12,14
4-I12-001-2022I12-1-1-4--1---,01:26:30,01:26:30,par-4-13,15
4-I12-001-2022I12-1-1-4--1---,01:27:47,01:27:47,par-4-14,16
4-I12-001-2022I12-1-1-4--1---,01:29:34,01:29:34,par-4-15,17
4-I12-001-2022I12-1-1-4--1---,01:30:22,01:30:22,par-4-16,18
4-I12-001-2022I12-1-1-4--1---,01:32:13,01:32:13,par-4-17,19
4-I12-001-2022I12-1-1-4--1---,01:33:38,01:33:38,par-4-18,20
4-I12-001-2022I12-1-1-4--1---,01:35:29,01:35:29,par-4-19,21
4-I12-001-2022I12-1-1-4--1---,01:36:43,01:36:43,par-4-20,22
4-I12-001-2022I12-1-1-4--1---,01:38:14,01:38:14,par-4-21,23
4-I12-001-2022I12-1-1-4--1---,01:39:42,01:39:42,par-4-22,24
4-I12-001-2022I12-1-1-4--1---,01:41:25,01:41:25,par-4-23,25
4-I12-001-2022I12-1-1-4--1---,01:43:05,01:43:05,par-4-24,26
4-I12-001-2022I12-1-1-4--1---,01:46:34,01:46:34,par-4-25,27
4-I12-001-2022I12-1-1-4--1---,01:47:53,01:47:53,par-4-26,28
4-I12-001-2022I12-1-1-4--1---,01:49:59,01:49:59,par-4-27,29
4-I12-001-2022I12-1-1-4--1---,01:51:46,01:51:46,par-4-293,30
4-I12-001-2022I12-1-1-4--1---,01:55:20,01:55:20,par-4-294,31
4-I12-001-2022I12-1-1-4--1---,01:57:02,01:57:02,par-4-295,32
4-I12-001-2022I12-2-1-4--1---,01:00:00,01:00:00,par-4-295,0
4-I12-001-2022I12-2-1-4--1---,01:01:42,01:01:42,par-4-294,1
4-I12-001-2022I12-2-1-4--1---,01:05:17,01:05:17,par-4-293,2
4-I12-001-2022I12-2-1-4--1---,01:07:04,01:07:04,par-4-27,3
4-I12-001-2022I12-2-1-4--1---,01:09:09,01:09:09,par-4-26,4
4-I12-001-2022I12-2-1-4--1---,01:10:29,01:10:29,par-4-25,5
4-I12-001-2022I12-2-1-4--1---,01:13:58,01:13:58,par-4-24,6
4-I12-001-2022I12-2-1-4--1---,01:15:37,01:15:37,par-4-23,7
4-I12-001-2022I12-2-1-4--1---,01:17:20,01:17:20,par-4-22,8
4-I12-001-2022I12-2-1-4--1---,01:18:49,01:18:49,par-4-21,9
4-I12-001-2022I12-2-1-4--1---,01:20:19,01:20:19,par-4-20,10
4-I12-001-2022I12-2-1-4--1---,01:21:33,01:21:33,par-4-19,11
4-I12-001-2022I12-2-1-4--1---,01:23:25,01:23:25,par-4-18,12
4-I12-001-2022I12-2-1-4--1---,01:24:49,01:24:49,par-4-17,13
4-I12-001-2022I12-2-1-4--1---,01:26:40,01:26:40,par-4-16,14
4-I12-001-2022I12-2-1-4--1---,01:27:29,01:27:29,par-4-15,15
4-I12-001-2022I12-2-1-4--1---,01:29:16,01:29:16,par-4-14,16
4-I12-001-2022I12-2-1-4--1---,01:30:32,01:30:32,par-4-13,17
4-I12-001-2022I12-2-1-4--1---,01:32:19,01:32:19,par-4-12,18
4-I12-001-2022I12-2-1-4--1---,01:33:10,01:33:10,par-4-11,19
4-I12-001-2022I12-2-1-4--1---,01:34:59,01:34:59,par-4-10,20
4-I12-001-2022I12-2-1-4--1---,01:36:14,01:36:14,par-4-9,21
4-I12-001-2022I12-2-1-4--1---,01:38:05,01:38:05,par-4-8,22
4-I12-001-2022I12-2-1-4--1---,01:40:01,01:40:01,par-4-7,23
4-I12-001-2022I12-2-1-4--1---,01:41:22,01:41:22,par-4-6,24
4-I12-001-2022I12-2-1-4--1---,01:42:31,01:42:31,par-4-5,25
4-I12-001-2022I12-2-1-4--1---,01:43:55,01:43:55,par-4-4,26
4-I12-001-2022I12-2-1-4--1---,01:45:55,01:45:55,par-4-3,27
4-I12-001-2022I12-2-1-4--1---,01:47:23,01:47:23,par-4-2,28
4-I12-001-2022I12-2-1-4--1---,01:48:44,01:48:44,par-4-1,29
4-I12-001-2022I12-2-1-4--1---,01:51:46,01:51:46,par-4-261,30
4-I12-001-2022I12-2-1-4--1---,01:53:52,01:53:52,par-4-262,31
4-I12-001-2022I12-2-1-4--1---,01:57:02,01:57:02,par-4-263,32
4-I13-001-2022I13-1-1-4--1---,00:00:00,00:00:00,par-4-263,0
4-I13-001-2022I13-1-1-4--1---,00:03:10,00:03:10,par-4-262,1
4-I13-001-2022I13-1-1-4--1---,00:05:17,00:05:17,par-4-261,2
4-I13-001-2022I13-1-1-4--1---,00:08:19,00:08:19,par-4-1,3
4-I13-001-2022I13-1-1-4--1---,00:09:40,00:09:40,par-4-2,4
4-I13-001-2022I13-1-1-4--1---,00:11:07,00:11:07,par-4-3,5
4-I13-001-2022I13-1-1-4--1---,00:13:07,00:13:07,par-4-4,6
4-I13-001-2022I13-1-1-4--1---,00:14:32,00:14:32,par-4-5,7
4-I13-001-2022I13-1-1-4--1---,00:15:40,00:15:40,par-4-6,8
4-I13-001-2022I13-1-1-4--1---,00:17:01,00:17:01,par-4-7,9
4-I13-001-2022I13-1-1-4--1---,00:18:58,00:18:58,par-4-8,10
4-I13-001-2022I13-1-1-4--1---,00:20:49,00:20:49,par-4-9,11
4-I13-001-2022I13-1-1-4--1---,00:22:04,00:22:04,par-4-10,12
4-I13-001-2022I13-1-1-4--1---,00:23:53,00:23:53,par-4-11,13
4-I13-001-2022I13-1-1-4--1---,00:24:44,00:24:44,par-4-12,14
4-I13-001-2022I13-1-1-4--1---,00:26:30,00:26:30,par-4-13,15
4-I13-001-2022I13-1-1-4--1---,00:27:47,00:27:47,par-4-14,16
4-I13-001-2022I13-1-1-4--1---,00:29:34,00:29:34,par-4-15,17
4-I13-001-2022I13-1-1-4--1---,00:30:22,00:30:22,par-4-16,18
