route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
4--1---,4-I12,4-I12-001-2022I12-1-1-4--1---,VALDECARROS,PINAR DE CHAMARTIN-VALDECARROS,0, ,4--1----1--IT-1,1
4--1---,4-I12,4-I12-001-2022I12-2-1-4--1---,PINAR DE CHAMARTIN,VALDECARROS-PINAR DE CHAMARTIN,1, ,4--1----2--IT-1,1
4--1---,4-I13,4-I13-001-2022I13-1-1-4--1---,VALDECARROS,PINAR DE CHAMARTIN-VALDECARROS,0, ,4--1----1--IT-1,1
4--1---,4-I13,4-I13-001-2022I13-2-1-4--1---,PINAR DE CHAMARTIN,VALDECARROS-PINAR DE CHAMARTIN,1, ,4--1----2--IT-1,1
4--1---,4-I14,4-I14-001-2022I14-1-1-4--1---,VALDECARROS,PINAR DE CHAMARTIN-VALDECARROS,0, ,4--1----1--IT-1,1
4--1---,4-I14,4-I14-001-2022I14-2-1-4--1---,PINAR DE CHAMARTIN,VALDECARROS-PINAR DE CHAMARTIN,1, ,4--1----2--IT-1,1
4--1---,4-I15,4-I15-001-2022I15-1-1-4--1---,VALDECARROS,PINAR DE CHAMARTIN-VALDECARROS,0, ,4--1----1--IT-1,1
4--1---,4-I15,4-I15-001-2022I15-2-1-4--1---,PINAR DE CHAMARTIN,VALDECARROS-PINAR DE CHAMARTIN,1, ,4--1----2--IT-1,1
4--2---,4-I12,4-I12-002-2022I12-1-1-4--2---,CUATRO CAMINOS,LA ELIPA-CUATRO CAMINOS,0, ,4--2----1--IT-1,1
4--2---,4-I12,4-I12-002-2022I12-2-1-4--2---,LAS ROSAS,CUATRO CAMINOS-LA ELIPA,1, ,4--2----2--IT-1,1
4--2---,4-I13,4-I13-002-2022I13-1-1-4--2---,CUATRO CAMINOS,LA ELIPA-CUATRO CAMINOS,0, ,4--2----1--IT-1,1
4--2---,4-I13,4-I13-002-2022I13-2-1-4--2---,LAS ROSAS,CUATRO CAMINOS-LA ELIPA,1, ,4--2----2--IT-1,1
4--2---,4-I14,4-I14-002-2022I14-1-1-4--2---,CUATRO CAMINOS,LA ELIPA-CUATRO CAMINOS,0, ,4--2----1--IT-1,1
4--2---,4-I14,4-I14-002-2022I14-2-1-4--2---,LAS ROSAS,CUATRO CAMINOS-LA ELIPA,1, ,4--2----2--IT-1,1
4--2---,4-I15,4-I15-002-2022I15-1-1-4--2---,CUATRO CAMINOS,LA ELIPA-CUATRO CAMINOS,0, ,4--2----1--IT-1,1
4--2---,4-I15,4-I15-002-2022I15-2-1-4--2---,LAS ROSAS,CUATRO CAMINOS-LA ELIPA,1, ,4--2----2--IT-1,1
4--3---,4-I12,4-I12-003-2022I12-1-1-4--3---,MONCLOA,VILLAVERDE ALTO-MONCLOA,0, ,4--3----1--IT-1,1
4--3---,4-I12,4-I12-003-2022I12-2-1-4--3---,VILLAVERDE ALTO,MONCLOA-VILLAVERDE ALTO,1, ,4--3----2--IT-1,1
4--3---,4-I13,4-I13-003-2022I13-1-1-4--3---,MONCLOA,VILLAVERDE ALTO-MONCLOA,0, ,4--3----1--IT-1,1
4--3---,4-I13,4-I13-003-2022I13-2-1-4--3---,VILLAVERDE ALTO,MONCLOA-VILLAVERDE ALTO,1, ,4--3----2--IT-1,1
4--3---,4-I14,4-I14-003-2022I14-1-1-4--3---,MONCLOA,VILLAVERDE ALTO-MONCLOA,0, ,4--3----1--IT-1,1
4--3---,4-I14,4-I14-003-2022I14-2-1-4--3---,VILLAVERDE ALTO,MONCLOA-VILLAVERDE ALTO,1, ,4--3----2--IT-1,1
4--3---,4-I15,4-I15-003-2022I15-1-1-4--3---,MONCLOA,VILLAVERDE ALTO-MONCLOA,0, ,4--3----1--IT-1,1
4--3---,4-I15,4-I15-003-2022I15-2-1-4--3---,VILLAVERDE ALTO,MONCLOA-VILLAVERDE ALTO,1, ,4--3----2--IT-1,1
4--4---,4-I12,4-I12-004-2022I12-1-1-4--4---,PINAR DE CHAMARTIN,ARGÜELLES-PINAR DE CHAMARTIN,0, ,4--4----1--IT-1,1
4--4---,4-I12,4-I12-004-2022I12-2-1-4--4---,ARGÜELLES,PINAR DE CHAMARTIN-ARGÜELLES,1, ,4--4----2--IT-1,1
4--4---,4-I13,4-I13-004-2022I13-1-1-4--4---,PINAR DE CHAMARTIN,ARGÜELLES-PINAR DE CHAMARTIN,0, ,4--4----1--IT-1,1
4--4---,4-I13,4-I13-004-2022I13-2-1-4--4---,ARGÜELLES,PINAR DE CHAMARTIN-ARGÜELLES,1, ,4--4----2--IT-1,1
4--4---,4-I14,4-I14-004-2022I14-1-1-4--4---,PINAR DE CHAMARTIN,ARGÜELLES-PINAR DE CHAMARTIN,0, ,4--4----1--IT-1,1
4--4---,4-I14,4-I14-004-2022I14-2-1-4--4---,ARGÜELLES,PINAR DE CHAMARTIN-ARGÜELLES,1, ,4--4----2--IT-1,1
4--4---,4-I15,4-I15-004-2022I15-1-1-4--4---,PINAR DE CHAMARTIN,ARGÜELLES-PINAR DE CHAMARTIN,0, ,4--4----1--IT-1,1
4--4---,4-I15,4-I15-004-2022I15-2-1-4--4---,ARGÜELLES,PINAR DE CHAMARTIN-ARGÜELLES,1, ,4--4----2--IT-1,1
4--5---,4-I12,4-I12-005-2022I12-1-1-4--5---,CASA DE CAMPO,ALAMEDA DE OSUNA-CASA DE CAMPO,0, ,4--5----1--IT-1,1
