service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1015M,0,1,0,0,0,0,0,20240604,20240604
1016X,0,0,1,0,0,0,0,20240605,20240605
1017J,0,0,0,1,0,0,0,20240606,20240606
1018V,0,0,0,0,1,0,0,20240607,20240607
1019S,0,0,0,0,0,1,0,20240608,20240608
1020D,0,0,0,0,0,0,1,20240609,20240609
1021L,1,0,0,0,0,0,0,20240610,20240610
1022M,0,1,0,0,0,0,0,20240611,20240611
1023X,0,0,1,0,0,0,0,20240612,20240612
1024J,0,0,0,1,0,0,0,20240613,20240613
1025V,0,0,0,0,1,0,0,20240614,20240614
1026S,0,0,0,0,0,1,0,20240615,20240615
1027D,0,0,0,0,0,0,1,20240616,20240616
1028L,1,0,0,0,0,0,0,20240617,20240617
1029M,0,1,0,0,0,0,0,20240618,20240618
1030X,0,0,1,0,0,0,0,20240619,20240619
1031J,0,0,0,1,0,0,0,20240620,20240620
1032V,0,0,0,0,1,0,0,20240621,20240621
1033S,0,0,0,0,0,1,0,20240622,20240622
1034D,0,0,0,0,0,0,1,20240623,20240623
1035L,1,0,0,0,0,0,0,20240624,20240624
1036M,0,1,0,0,0,0,0,20240625,20240625
1037X,0,0,1,0,0,0,0,20240626,20240626
1038J,0,0,0,1,0,0,0,20240627,20240627
1039V,0,0,0,0,1,0,0,20240628,20240628
1040S,0,0,0,0,0,1,0,20240629,20240629
1041D,0,0,0,0,0,0,1,20240630,20240630
1042L,1,0,0,0,0,0,0,20240701,20240701
1043M,0,1,0,0,0,0,0,20240702,20240702
1044X,0,0,1,0,0,0,0,20240703,20240703
1045J,0,0,0,1,0,0,0,20240704,20240704
