route_id,service_id,trip_id
10T0001C1,1001M,1001M21103C1
10T0001C1,1001M,1001M21301C1
10T0001C1,1001M,1001M21303C1
10T0001C1,1001M,1001M21305C1
10T0001C1,1001M,1001M21809C1
10T0001C1,1001M,1001M21811C1
10T0001C1,1001M,1001M21813C1
10T0001C1,1001M,1001M21815C1
10T0001C1,1001M,1001M21817C1
10T0001C1,1001M,1001M21821C1
10T0001C1,1001M,1001M21823C1
10T0001C1,1001M,1001M21825C1
10T0001C1,1001M,1001M21827C1
10T0001C1,1001M,1001M21829C1
10T0001C1,1001M,1001M21831C1
10T0001C1,1001M,1001M21833C1
10T0001C1,1001M,1001M21835C1
10T0001C1,1001M,1001M21837C1
10T0001C1,1001M,1001M21839C1
10T0001C1,1001M,1001M21841C1
10T0001C1,1001M,1001M21843C1
10T0001C1,1001M,1001M21845C1
10T0001C1,1001M,1001M21847C1
10T0001C1,1001M,1001M21849C1
10T0001C1,1001M,1001M21851C1
10T0001C1,1001M,1001M21853C1
10T0001C1,1001M,1001M21855C1
10T0001C1,1001M,1001M21857C1
10T0001C1,1001M,1001M21859C1
10T0001C1,1001M,1001M21861C1
10T0001C1,1001M,1001M21863C1
10T0001C1,1001M,1001M21865C1
10T0001C1,1001M,1001M21867C1
10T0001C1,1001M,1001M21869C1
10T0001C1,1001M,1001M21871C1
10T0001C1,1001M,1001M21873C1
10T0001C1,1001M,1001M21875C1
10T0001C1,1001M,1001M35109C1
10T0001C1,1002X,1002X21103C1
10T0001C1,1002X,1002X21301C1
10T0001C1,1002X,1002X21303C1
10T0001C1,1002X,1002X21305C1
10T0001C1,1002X,1002X21809C1
10T0001C1,1002X,1002X21811C1
10T0001C1,1002X,1002X21813C1
10T0001C1,1002X,1002X21815C1
10T0001C1,1002X,1002X21817C1
10T0001C1,1002X,1002X21821C1
10T0001C1,1002X,1002X21823C1
10T0001C1,1002X,1002X21825C1
10T0001C1,1002X,1002X21827C1
10T0001C1,1002X,1002X21829C1
10T0001C1,1002X,1002X21831C1
10T0001C1,1002X,1002X21833C1
10T0001C1,1002X,1002X21835C1
10T0001C1,1002X,1002X21837C1
10T0001C1,1002X,1002X21839C1
10T0001C1,1002X,1002X21841C1
10T0001C1,1002X,1002X21843C1
10T0001C1,1002X,1002X21845C1
10T0001C1,1002X,1002X21847C1
10T0001C1,1002X,1002X21849C1
10T0001C1,1002X,1002X21851C1
10T0001C1,1002X,1002X21853C1
10T0001C1,1002X,1002X21855C1
10T0001C1,1002X,1002X21857C1
10T0001C1,1002X,1002X21859C1
10T0001C1,1002X,1002X21861C1
10T0001C1,1002X,1002X21863C1
10T0001C1,1002X,1002X21865C1
10T0001C1,1002X,1002X21867C1
10T0001C1,1002X,1002X21869C1
10T0001C1,1002X,1002X21871C1
10T0001C1,1002X,1002X21873C1
10T0001C1,1002X,1002X21875C1
10T0001C1,1002X,1002X35109C1
10T0001C1,1003J,1003J21103C1
10T0001C1,1003J,1003J21301C1
10T0001C1,1003J,1003J21303C1
10T0001C1,1003J,1003J21305C1
10T0001C1,1003J,1003J21809C1
10T0001C1,1003J,1003J21811C1
10T0001C1,1003J,1003J21813C1
10T0001C1,1003J,1003J21815C1
10T0001C1,1003J,1003J21817C1
10T0001C1,1003J,1003J21821C1
10T0001C1,1003J,1003J21823C1
10T0001C1,1003J,1003J21825C1
10T0001C1,1003J,1003J21827C1
10T0001C1,1003J,1003J21829C1
10T0001C1,1003J,1003J21831C1
10T0001C1,1003J,1003J21833C1
10T0001C1,1003J,1003J21835C1
10T0001C1,1003J,1003J21837C1
10T0001C1,1003J,1003J21839C1
10T0001C1,1003J,1003J21841C1
10T0001C1,1003J,1003J21843C1
